"fecha","matricula_area","area_academica","periodo","año_y"
"2000-05-01","1","ESTOMATOLOGIA","2000-I","2000"
"2000-12-01","1"," CIENCIAS DE LA SALUD","2000-II","2000"
"2000-12-01","1","SIN AREA","2000-II","2000"
"2000-12-01","4","CIENCIAS DE LA EDUCACIÓN","2000-II","2000"
"2001-01-01","1","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2001-I","2001"
"2001-01-01","2"," CIENCIAS DE LA SALUD","2001-I","2001"
"2001-02-01","2","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2001-I","2001"
"2001-03-01","2","CIENCIAS Y ARTES DEL HÁBITAT","2001-I","2001"
"2001-03-01","30","SIN AREA","2001-I","2001"
"2001-03-01","40","CIENCIAS DE LA EDUCACIÓN","2001-I","2001"
"2001-03-01","9","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2001-I","2001"
"2001-03-01","3","ESTOMATOLOGIA","2001-I","2001"
"2001-04-01","6","CIENCIAS SOCIALES","2001-I","2001"
"2001-05-01","3","CIENCIA Y TECNOLOGIA","2001-I","2001"
"2001-07-01","1","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2001-II","2001"
"2001-08-01","2"," CIENCIAS DE LA SALUD","2001-II","2001"
"2001-09-01","5","CIENCIAS DE LA EDUCACIÓN","2001-II","2001"
"2001-10-01","3","SIN AREA","2001-II","2001"
"2001-12-01","1","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2001-II","2001"
"2002-02-01","65","CIENCIAS DE LA EDUCACIÓN","2002-I","2002"
"2002-02-01","8"," CIENCIAS DE LA SALUD","2002-I","2002"
"2002-02-01","4","CIENCIA Y TECNOLOGIA","2002-I","2002"
"2002-03-01","9","CIENCIAS SOCIALES","2002-I","2002"
"2002-03-01","3","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2002-I","2002"
"2002-03-01","11","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2002-I","2002"
"2002-03-01","10","CIENCIAS Y ARTES DEL HÁBITAT","2002-I","2002"
"2002-04-01","37","SIN AREA","2002-I","2002"
"2002-04-01","10","ESTOMATOLOGIA","2002-I","2002"
"2002-05-01","25","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2002-I","2002"
"2002-08-01","2","CIENCIA Y TECNOLOGIA","2002-II","2002"
"2002-11-01","7"," CIENCIAS DE LA SALUD","2002-II","2002"
"2002-11-01","5","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2002-II","2002"
"2002-11-01","12","ESTOMATOLOGIA","2002-II","2002"
"2002-11-01","8","SIN AREA","2002-II","2002"
"2002-11-01","25","CIENCIAS DE LA EDUCACIÓN","2002-II","2002"
"2002-11-01","7","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2002-II","2002"
"2002-12-01","2","CIENCIAS Y ARTES DEL HÁBITAT","2002-II","2002"
"2002-12-01","4","CIENCIAS SOCIALES","2002-II","2002"
"2003-01-01","6","CIENCIAS SOCIALES","2003-I","2003"
"2003-02-01","1","CIENCIA Y TECNOLOGIA","2003-I","2003"
"2003-04-01","1","SIN AREA","2003-I","2003"
"2003-05-01","64","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2003-I","2003"
"2003-05-01","1","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2003-I","2003"
"2003-05-01","8","ESTOMATOLOGIA","2003-I","2003"
"2003-06-01","6","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2003-I","2003"
"2003-06-01","135","CIENCIAS DE LA EDUCACIÓN","2003-I","2003"
"2003-06-01","270"," CIENCIAS DE LA SALUD","2003-I","2003"
"2003-07-01","268","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2003-II","2003"
"2003-07-01","1085","SIN AREA","2003-II","2003"
"2003-07-01","145"," CIENCIAS DE LA SALUD","2003-II","2003"
"2003-07-01","354","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2003-II","2003"
"2003-07-01","135","CIENCIAS Y ARTES DEL HÁBITAT","2003-II","2003"
"2003-07-01","330","CIENCIAS SOCIALES","2003-II","2003"
"2003-07-01","99","CIENCIA Y TECNOLOGIA","2003-II","2003"
"2003-07-01","89","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2003-II","2003"
"2003-07-01","1162","CIENCIAS DE LA EDUCACIÓN","2003-II","2003"
"2003-07-01","62","ESTOMATOLOGIA","2003-II","2003"
"2004-02-01","7","CIENCIAS SOCIALES","2004-I","2004"
"2004-02-01","2","CIENCIAS DE LA EDUCACIÓN","2004-I","2004"
"2004-09-01","712","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2004-II","2004"
"2004-09-01","1654","SIN AREA","2004-II","2004"
"2004-09-01","1086"," CIENCIAS DE LA SALUD","2004-II","2004"
"2004-09-01","164","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2004-II","2004"
"2004-09-01","206","CIENCIA Y TECNOLOGIA","2004-II","2004"
"2004-10-01","768","ESTOMATOLOGIA","2004-II","2004"
"2004-10-01","213","CIENCIAS Y ARTES DEL HÁBITAT","2004-II","2004"
"2004-10-01","662","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2004-II","2004"
"2004-10-01","2262","CIENCIAS DE LA EDUCACIÓN","2004-II","2004"
"2004-10-01","834","CIENCIAS SOCIALES","2004-II","2004"
"2005-05-01","680"," CIENCIAS DE LA SALUD","2005-I","2005"
"2005-05-01","3","CIENCIAS Y ARTES DEL HÁBITAT","2005-I","2005"
"2005-05-01","478","CIENCIAS DE LA EDUCACIÓN","2005-I","2005"
"2005-05-01","37","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2005-I","2005"
"2005-05-01","1183","SIN AREA","2005-I","2005"
"2005-05-01","5","ESTOMATOLOGIA","2005-I","2005"
"2005-05-01","2","CIENCIA Y TECNOLOGIA","2005-I","2005"
"2005-05-01","244","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2005-I","2005"
"2005-05-01","54","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2005-I","2005"
"2005-06-01","389","CIENCIAS SOCIALES","2005-I","2005"
"2005-07-01","186","CIENCIAS Y ARTES DEL HÁBITAT","2005-II","2005"
"2005-07-01","2396","CIENCIAS DE LA EDUCACIÓN","2005-II","2005"
"2005-07-01","217","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2005-II","2005"
"2005-07-01","673","ESTOMATOLOGIA","2005-II","2005"
"2005-07-01","688","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2005-II","2005"
"2005-07-01","621","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2005-II","2005"
"2005-07-01","646"," CIENCIAS DE LA SALUD","2005-II","2005"
"2005-07-01","746","CIENCIAS SOCIALES","2005-II","2005"
"2005-07-01","171","CIENCIA Y TECNOLOGIA","2005-II","2005"
"2005-12-01","931","SIN AREA","2005-II","2005"
"2006-01-01","6","CIENCIAS DE LA EDUCACIÓN","2006-I","2006"
"2006-01-01","2","SIN AREA","2006-I","2006"
"2006-01-01","3","ESTOMATOLOGIA","2006-I","2006"
"2006-01-01","1"," CIENCIAS DE LA SALUD","2006-I","2006"
"2006-07-01","2452","SIN AREA","2006-II","2006"
"2006-07-01","721","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2006-II","2006"
"2006-08-01","971","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2006-II","2006"
"2006-08-01","1370","CIENCIAS SOCIALES","2006-II","2006"
"2006-09-01","608","ESTOMATOLOGIA","2006-II","2006"
"2006-10-01","176","CIENCIA Y TECNOLOGIA","2006-II","2006"
"2006-10-01","2846","CIENCIAS DE LA EDUCACIÓN","2006-II","2006"
"2006-10-01","1483"," CIENCIAS DE LA SALUD","2006-II","2006"
