fecha;matricula_total;ano_x;ano_y;semestre;periodo;gestion
1/5/2000;1;2000;2000;I;2000-I;2000
1/12/2000;6;2000;2000;II;2000-II;2000
1/3/2001;98;2001;2001;I;2001-I;2001
1/12/2001;12;2001;2001;II;2001-II;2001
1/5/2002;182;2002;2002;I;2002-I;2002
1/11/2002;72;2002;2002;II;2002-II;2002
1/6/2003;492;2003;2003;I;2003-I;2003
1/7/2003;3729;2003;2003;II;2003-II;2003
1/2/2004;9;2004;2004;I;2004-I;2004
1/10/2004;8561;2004;2004;II;2004-II;2004
1/5/2005;3075;2005;2005;I;2005-I;2005
1/7/2005;7275;2005;2005;II;2005-II;2005
1/1/2006;12;2006;2006;I;2006-I;2006
1/8/2006;11180;2006;2006;II;2006-II;2006
1/6/2007;514;2007;2007;I;2007-I;2007
1/7/2007;11545;2007;2007;II;2007-II;2007
1/3/2008;12273;2008;2008;I;2008-I;2008
1/7/2008;1292;2008;2008;II;2008-II;2008
1/2/2009;14149;2009;2009;I;2009-I;2009
1/12/2009;1772;2009;2009;II;2009-II;2009
1/2/2010;16711;2010;2010;I;2010-I;2010
1/7/2010;1428;2010;2010;II;2010-II;2010
1/2/2011;19618;2011;2011;I;2011-I;2011
1/11/2011;1825;2011;2011;II;2011-II;2011
1/2/2012;23022;2012;2012;I;2012-I;2012
1/7/2012;3199;2012;2012;II;2012-II;2012
1/2/2013;27402;2013;2013;I;2013-I;2013
1/7/2013;2420;2013;2013;II;2013-II;2013
1/1/2014;32481;2014;2014;I;2014-I;2014
1/7/2014;1756;2014;2014;II;2014-II;2014
1/1/2015;35965;2015;2015;I;2015-I;2015
1/7/2015;2107;2015;2015;II;2015-II;2015
1/2/2016;38768;2016;2016;I;2016-I;2016
1/7/2016;2388;2016;2016;II;2016-II;2016
1/2/2017;44134;2017;2017;I;2017-I;2017
1/7/2017;2315;2017;2017;II;2017-II;2017
1/2/2018;48501;2018;2018;I;2018-I;2018
1/8/2018;1888;2018;2018;II;2018-II;2018
1/1/2019;52633;2019;2019;I;2019-I;2019
1/8/2019;2222;2019;2019;II;2019-II;2019
1/1/2020;52177;2020;2020;I;2020-I;2020
1/9/2020;7169;2020;2020;II;2020-II;2020
1/2/2021;57060;2021;2021;I;2021-I;2021
1/11/2021;9077;2021;2021;II;2021-II;2021
1/2/2022;60713;2022;2022;I;2022-I;2022
1/7/2022;7673;2022;2022;II;2022-II;2022
1/2/2023;64557;2023;2023;I;2023-I;2023
1/10/2023;5066;2023;2023;II;2023-II;2023
1/1/2024;61788;2024;2024;I;2024-I;2024
1/7/2024;7954;2024;2024;II;2024-II;2024
1/2/2025;64684;2025;2025;I;2025-I;2025
1/7/2025;4670;2025;2025;II;2025-II;2025
