gestion;pib_departamental_millones_bs;poblacion_bolivia;poblacion_lapaz;poblacion_el_alto;matricula secundaria de 1ro a 6to ;5to fue 15% de matriculados;promedio de tasa termino bruto 6to secundaria;graduados_secundaria;tasa_desempleo_juvenil
2000;5312097;8274325;2349885;649958;80431;12065;82;9891;4274
2001;5332172;8274325;2349885;649958;86082;12912;82;10586;4604
2002;5604210;8433682;2382291;668038;91984;13798;82;11311;4754
2003;5892777;8593039;2414697;686118;94921;14238;82;11673;4965
2004;6056316;8752397;2447103;704199;105812;15872;82;13012;5088
2005;6124302;8911754;2479509;722279;108405;16261;82;13331;5226
2006;6364792;9071111;2511915;740359;109359;16404;82;13448;5352
2007;6669426;9230468;2544321;758439;109651;16448;82;13484;5549
2008;7069768;9389825;2576727;776519;112121;16818;82;13788;5686
2009;7412588;9549182;2609133;794599;112581;16887;82;13844;5283
2010;7762015;9708540;2641539;812680;115551;17333;82;14209;5283
2011;8234768;9867897;2673945;830760;118194;17729;82;14534;5327
2012;8618358;10027254;2706351;848840;120401;18060;78;14141;3361
2013;9103059;10138761;2733398;851922;125470;18821;79;14821;5392
2014;9598107;10250267;2760445;855004;127783;19167;79;15200;4774
2015;10349995;10361774;2787493;858086;129245;19387;82;15839;6852
2016;10920586;10473280;2814540;861168;129688;19453;84;16411;6772
2017;11586254;10584787;2841587;864250;128757;19314;86;16635;6654
2018;12110469;10696294;2868634;867333;127458;19119;88;16792;6780
2019;12498651;10807800;2895681;870415;127133;19070;83;15798;6927
2020;11116471;10919307;2922728;873497;127818;19173;80;15386;15231
2021;11705329;11030813;2949776;876579;129447;19417;80;15602;8199
2022;12266625;11142320;2976823;879661;130300;19545;82;16023;6044
2023;12540430;11253826;3003870;882743;132702;19905;82;16319;4958
2024;12884979;11365333;3030917;885825;134413;20162;82;16529;5212
