"fecha";"matricula_carrera";"carrera_academica";"periodo";"año_y"
NULL;"3";"DERECHO";NULL;NULL
"2016-02-01";"2031";"ADMINISTRACIÓN DE EMPRESAS";"2016-I";"2016"
"2016-02-01";"725";"INGENIERÍA DE GAS Y PETROQUÍMICA";"2016-I";"2016"
"2016-02-01";"3983";"CIENCIAS DE LA EDUCACIÓN";"2016-I";"2016"
"2016-02-01";"1478";"ODONTOLOGÍA";"2016-I";"2016"
"2016-02-01";"982";"COMERCIO INTERNACIONAL";"2016-I";"2016"
"2016-02-01";"244";"HISTORIA";"2016-I";"2016"
"2016-02-01";"843";"MEDICINA VETERINARIA Y ZOOTECNIA";"2016-I";"2016"
"2016-02-01";"1102";"LINGÜÍSTICA E IDIOMAS";"2016-I";"2016"
"2016-02-01";"656";"GESTIÓN TURÍSTICA Y HOTELERA";"2016-I";"2016"
"2016-02-01";"763";"PSICOLOGÍA";"2016-I";"2016"
"2016-02-01";"88";"CIENCIAS FÍSICAS  Y ENERGÍAS ALTERNATIVAS";"2016-I";"2016"
"2016-02-01";"1733";"ENFERMERÍA";"2016-I";"2016"
"2016-02-01";"1354";"EDUCACIÓN PARVULARIA";"2016-I";"2016"
"2016-02-01";"229";"CIENCIAS POLITICAS";"2016-I";"2016"
"2016-02-01";"486";"INGENIERÍA EN PRODUCCIÓN EMPRESARIAL";"2016-I";"2016"
"2016-02-01";"960";"TRABAJO SOCIAL";"2016-I";"2016"
"2016-02-01";"189";"ARTES PLÁSTICAS";"2016-I";"2016"
"2016-02-01";"3841";"CONTADURÍA PÚBLICA";"2016-I";"2016"
"2016-02-01";"1378";"MEDICINA";"2016-I";"2016"
"2016-02-01";"224";"INGENIERÍA EN ZOOTECNIA E INDUSTRIA PECUARIA";"2016-I";"2016"
"2016-02-01";"423";"INGENIERÍA AUTOTRÓNICA";"2016-I";"2016"
"2016-02-01";"1952";"INGENIERÍA DE SISTEMAS";"2016-I";"2016"
"2016-02-01";"569";"INGENIERÍA ELECTRÓNICA";"2016-I";"2016"
"2016-02-01";"1";"TECNOLOGÍA EN LABORATORIO DENTAL";"2016-I";"2016"
"2016-02-01";"426";"NUTRICIÓN Y DIETÉTICA";"2016-I";"2016"
"2016-02-01";"6705";"DERECHO";"2016-I";"2016"
"2016-02-01";"99";"INGENIERÍA TEXTIL";"2016-I";"2016"
"2016-02-01";"164";"INGENIERÍA AMBIENTAL";"2016-I";"2016"
"2016-02-01";"563";"CIENCIAS DEL DESARROLLO";"2016-I";"2016"
"2016-02-01";"744";"ECONOMÍA";"2016-I";"2016"
"2016-02-01";"894";"INGENIERÍA CIVIL";"2016-I";"2016"
"2016-02-01";"999";"CIENCIAS DE LA COMUNICACIÓN SOCIAL";"2016-I";"2016"
"2016-02-01";"300";"SOCIOLOGÍA";"2016-I";"2016"
"2016-02-01";"819";"INGENIERÍA AGRONÓMICA";"2016-I";"2016"
"2016-02-01";"136";"INGENIERÍA ELECTRICA";"2016-I";"2016"
"2016-02-01";"966";"ARQUITECTURA";"2016-I";"2016"
"2016-08-01";"13";"TRABAJO SOCIAL";"2016-II";"2016"
"2016-08-01";"16";"CIENCIAS FÍSICAS  Y ENERGÍAS ALTERNATIVAS";"2016-II";"2016"
"2016-08-01";"20";"MEDICINA";"2016-II";"2016"
"2016-08-01";"76";"INGENIERÍA DE SISTEMAS";"2016-II";"2016"
"2016-08-01";"107";"PSICOLOGÍA";"2016-II";"2016"
"2016-08-01";"9";"INGENIERÍA TEXTIL";"2016-II";"2016"
"2016-08-01";"41";"INGENIERÍA DE GAS Y PETROQUÍMICA";"2016-II";"2016"
"2016-08-01";"23";"INGENIERÍA AMBIENTAL";"2016-II";"2016"
"2016-08-01";"22";"INGENIERÍA EN ZOOTECNIA E INDUSTRIA PECUARIA";"2016-II";"2016"
"2016-08-01";"158";"ARQUITECTURA";"2016-II";"2016"
"2016-08-01";"22";"CONTADURÍA PÚBLICA";"2016-II";"2016"
"2016-08-01";"30";"CIENCIAS DEL DESARROLLO";"2016-II";"2016"
"2016-08-01";"28";"INGENIERÍA ELECTRICA";"2016-II";"2016"
