"fecha";"matricula_carrera";"carrera_academica";"periodo";"año_y";"porcentaje"
NULL;"279";"ADMINISTRACIÓN DE EMPRESAS";NULL;NULL;NULL
NULL;"224";"ARQUITECTURA";NULL;NULL;NULL
NULL;"230";"ODONTOLOGÍA";NULL;NULL;NULL
NULL;"1111";"DERECHO";NULL;NULL;NULL
NULL;"322";"ECONOMÍA";NULL;NULL;NULL
NULL;"284";"MEDICINA VETERINARIA Y ZOOTECNIA";NULL;NULL;NULL
NULL;"54";"CONTADURÍA PÚBLICA";NULL;NULL;NULL
NULL;"611";"INGENIERÍA DE SISTEMAS";NULL;NULL;NULL
NULL;"600";"MEDICINA";NULL;NULL;NULL
NULL;"2";"TRABAJO SOCIAL";NULL;NULL;NULL
NULL;"14";"CIENCIAS DE LA COMUNICACIÓN SOCIAL";NULL;NULL;NULL
NULL;"1478";"CIENCIAS DE LA EDUCACIÓN";NULL;NULL;NULL
NULL;"499";"ENFERMERÍA";NULL;NULL;NULL
NULL;"279";"CIENCIAS DEL DESARROLLO";NULL;NULL;NULL
NULL;"245";"INGENIERÍA AGRONÓMICA";NULL;NULL;NULL
NULL;"215";"INGENIERÍA CIVIL";NULL;NULL;NULL
NULL;"205";"INGENIERÍA ELECTRÓNICA";NULL;NULL;NULL
NULL;"222";"LINGÜÍSTICA E IDIOMAS";NULL;NULL;NULL
"1014-01-01";"1";"MEDICINA VETERINARIA Y ZOOTECNIA";"1014-I";"1014";"100.00"
"1900-01-01";"1";"INGENIERÍA DE SISTEMAS";"1900-I";"1900";"100.00"
"2000-05-01";"1";"ODONTOLOGÍA";"2000-I";"2000";"14.29"
"2000-12-01";"4";"CIENCIAS DE LA EDUCACIÓN";"2000-II";"2000";"57.14"
"2000-12-01";"1";"DERECHO";"2000-II";"2000";"14.29"
"2000-12-01";"1";"MEDICINA";"2000-II";"2000";"14.29"
"2001-01-01";"2";"ENFERMERÍA";"2001-I";"2001";"1.82"
"2001-01-01";"1";"CONTADURÍA PÚBLICA";"2001-I";"2001";"0.91"
"2001-01-01";"1";"INGENIERÍA ELECTRÓNICA";"2001-I";"2001";"0.91"
