fecha,prediccion,ic_inferior,ic_superior,año,semestre,periodo
2025-03-01,67453.48782803128,62607.158226585925,72299.81742947665,2025,I,2025-I
2025-08-01,5506.410356532717,253.10577182500856,10759.714941240425,2025,II,2025-II
2026-03-01,68250.25236069219,60853.029929819386,75647.474791565,2026,I,2026-I
2026-08-01,6323.39593180587,-1259.2909910895441,13906.082854701282,2026,II,2026-II
2027-03-01,69027.83729205524,59624.67527614411,78430.99930796637,2027,I,2027-I
2027-08-01,7121.415716820346,-2373.209830875412,16616.041264516105,2027,II,2027-II
2028-03-01,69786.69614912212,58605.420921510566,80967.97137673367,2028,I,2028-I
2028-08-01,7900.917853174018,-3322.4306925413803,19124.266398889416,2028,II,2028-II
2029-03-01,70527.27173848901,57685.05820090638,83369.48527607165,2029,I,2029-I
2029-08-01,8662.339889516457,-4195.571616948653,21520.25139598157,2029,II,2029-II
2030-03-01,71249.9963997521,56810.74736332396,85689.24543618024,2030,I,2030-I
