periodo,arima,rf,xgboost,lstm,ensemble
2025-I,67453.48782803128,28880.27666666667,55153.215,60246.82993483544,39662.866076010425
2025-II,5506.410356532717,27053.576666666668,55153.215,9781.491264596583,18235.09891884424
2026-I,68250.25236069219,28475.74,55153.215,64030.66701543332,39932.28305356406
2026-II,6323.39593180587,27126.95333333333,55153.215,8114.924281843008,18506.677043935288
2027-I,69027.83729205524,28551.256666666668,55153.215,61152.28421312571,40191.47803068507
2027-II,7121.415716820346,27240.356666666667,55153.215,1044.2724063834175,18772.683638940118
2028-I,69786.69614912212,28551.256666666668,55153.215,54060.379201293,40444.43098304071
2028-II,7900.917853174018,27205.92333333333,55153.215,-4048.5703556165104,19031.640351058
2029-I,70527.27173848901,28518.68666666667,55153.215,48009.35613405705,40690.71031282967
2029-II,8662.339889516457,27167.596666666668,55153.215,-11137.773054942489,19284.96929650549
2030-I,71249.9963997521,,,,
