fecha,prediccion_ensemble,año,semestre,periodo
2025-03-01,39662.866076010425,2025,I,2025-I
2025-08-01,18235.098918844236,2025,II,2025-II
2026-03-01,39932.28305356406,2026,I,2026-I
2026-08-01,18506.677043935288,2026,II,2026-II
2027-03-01,40191.47803068507,2027,I,2027-I
2027-08-01,18772.683638940114,2027,II,2027-II
2028-03-01,40444.43098304071,2028,I,2028-I
2028-08-01,19031.640351058002,2028,II,2028-II
2029-03-01,40690.71031282967,2029,I,2029-I
2029-08-01,19284.969296505486,2029,II,2029-II
